Country,Air Polution,GDP per capita (USD),Life satisfaction
Russia,12,26456.38794,5.8
Greece,10,27287.0834,5.4
Turkey,15.5,28384.98778,5.5
Latvia,14,29932.49391,5.9
Hungary,9,31007.76841,5.6
Portugal,10,32181.15454,5.4
Poland,9.8,32238.15726,6.1
Estonia,13,35638.42135,5.7
Spain,11,36215.44759,6.3
Slovenia,10,36547.73896,5.9
Lithuania,9.6,36732.03474,5.9
Israel,11,38341.30757,7.2
Italy,10,38992.14838,6
United Kingdom,11.4,41627.12927,6.8
France,11,42025.61737,6.5
New Zealand,8,42404.39374,7.3
Canada,8.5,45856.62563,7.4
Finland,8,47260.80046,7.6
Belgium,9,48210.03311,6.9
Australia,9.3,48697.83703,7.3
Sweden,9,50683.32351,7.3
Germany,9,50922.35802,7
Austria,8.2,51935.60386,7.1
Iceland,8,52279.72885,7.5
Netherlands,8,54209.56384,7.4
Denmark,8,55938.21281,7.6
United States,10.9,60235.72849,6.9
